"Name","Team","Bye Week","Pos","Rank","PPG","ATTS","YDS","TDS","REC","YDS","TDS","FUM"
"Kayshon Boutte","NE","11","WR","175","5.3","0","0","0","26","395","4","0"
"Tank Dell","HOU","8","WR","176","5.2","4","20","0","31","375","3","0"
"Ty Johnson","BUF","7","RB","177","5.2","45","185","2","22","240","2","0"
"Samaje Perine","CIN","6","RB","178","5.2","82","325","3","21","135","1","0"
"Isaac TeSlaa","DET","6","WR","179","5.1","0","0","0","23","345","5","0"
"Jaydon Blue","DAL","14","RB","180","5.1","100","480","3","15","100","0","1"
"Jaylin Noel","HOU","8","WR","181","5.0","6","35","0","34","330","3","0"
"Troy Franklin","DEN","10","WR","182","5.0","0","0","0","32","380","3","0"
"Kendrick Bourne","ARI","14","WR","183","5.0","0","0","0","37","393","1","0"
"Justice Hill","BAL","13","RB","184","4.9","35","180","1","27","219","2","0"
"Tory Horton","SEA","11","WR","185","4.9","8","35","0","29","377","2","0"
"Darius Slayton","NYG","8","WR","186","4.9","0","0","0","28","420","2","0"
"AJ Barner","SEA","11","TE","187","4.9","0","0","0","30","285","4","0"
"Dontayvion Wicks","PHI","10","WR","188","4.8","1","5","0","29","365","3","0"
"Treylon Burks","WAS","7","WR","189","4.5","0","0","0","26","375","2","0"
"Dawson Knox","BUF","7","TE","190","4.5","0","0","0","29","330","3","0"
"Jalen Nailor","LV","13","WR","191","4.5","0","0","0","30","360","2","0"
"Devaughn Vele","NO","8","WR","192","4.5","0","0","0","31","335","2","0"
"Isaiah Davis","NYJ","13","RB","193","4.4","62","285","2","20","140","0","1"
"Ja'Tavion Sanders","CAR","5","TE","194","4.4","0","0","0","29","300","3","0"
"Chris Brazzell II","CAR","5","WR","195","4.4","0","0","0","25","360","3","1"
"Jalen Tolbert","MIA","6","WR","196","4.3","0","0","0","28","345","2","0"
"Christian Kirk","SF","8","WR","197","4.3","3","15","0","25","280","3","0"
"Elic Ayomanor","TEN","9","WR","198","4.3","0","0","0","27","348","2","0"
"Trevor Etienne","CAR","5","RB","199","4.3","70","320","2","15","120","1","1"
"James Conner","ARI","14","RB","200","4.2","65","270","2","15","112","1","0"
"Justin Joly","DEN","10","TE","201","4.2","0","0","0","30","295","2","0"
"Greg Dulcich","MIA","6","TE","202","4.1","0","0","0","27","310","2","1"
"Hollywood Brown","PHI","10","WR","203","4.1","3","20","0","24","298","2","0"
"Luke Musgrave","GB","11","TE","204","4.1","0","0","0","26","285","3","0"
"Xavier Legette","CAR","5","WR","205","4.0","2","8","0","28","300","2","1"
"Noah Fant","NO","8","TE","206","4.0","0","0","0","30","291","2","0"
"Mason Taylor","NYJ","13","TE","207","4.0","0","0","0","29","244","2","0"
"Elijah Sarratt","BAL","13","WR","208","3.9","0","0","0","21","269","3","0"
"Jerome Ford","WAS","7","RB","209","3.8","63","290","3","12","95","0","1"
"LeQuint Allen Jr.","JAX","7","RB","210","3.8","48","190","1","22","167","1","1"
"Cedric Tillman","CLE","11","WR","211","3.7","0","0","0","22","299","2","0"
"Keaton Mitchell","LAC","7","RB","212","3.7","56","310","2","11","90","1","0"
"Jaylen Wright","MIA","6","RB","213","3.7","85","360","3","8","60","0","1"
"Michael Mayer","LV","13","TE","214","3.7","0","0","0","21","298","2","0"
"Braelon Allen","NYJ","13","RB","215","3.6","76","334","3","6","39","0","1"
"Ray Davis","BUF","7","RB","216","3.6","70","315","2","9","70","1","1"
"Marvin Mims Jr.","DEN","10","WR","217","3.5","3","20","0","26","240","2","1"
"Darnell Washington","PIT","9","TE","218","3.4","0","0","0","22","217","2","0"
"Denzel Boston","CLE","11","WR","219","3.4","0","0","0","22","257","2","0"
"Sean Tucker","TB","10","RB","220","3.4","76","297","3","6","30","0","0"
"Mack Hollins","NE","11","WR","221","3.4","1","4","0","20","244","2","0"
"Brashard Smith","KC","5","RB","222","3.3","37","135","1","20","155","1","1"
"Ben Sinnott","WAS","7","TE","223","3.3","0","0","0","18","240","2","0"
"DJ Giddens","IND","13","RB","224","3.3","55","215","2","13","100","1","1"
"Max Klare","LAR","11","TE","225","3.2","0","0","0","22","270","1","0"
"Devin Singletary","NYG","8","RB","226","3.2","75","300","2","8","56","0","1"
"Chimere Dike","TEN","9","WR","227","3.2","8","24","0","23","216","1","0"
"Kaelon Black","SF","8","RB","228","3.2","65","285","3","4","26","0","0"
"Dont'e Thornton Jr.","LV","13","WR","229","3.1","0","0","0","17","300","1","0"
"Tank Bigsby","PHI","10","RB","230","3.1","72","338","2","5","40","0","1"
"Jordan Whittington","LAR","11","WR","231","3.1","3","15","0","23","220","1","0"
"Ja'Kobi Lane","BAL","13","WR","232","3.1","0","0","0","16","210","3","0"
"Roman Wilson","PIT","9","WR","233","3.0","3","15","0","18","225","2","0"
"Kalif Raymond","CHI","10","WR","234","2.9","2","12","0","19","205","2","0"
"Theo Johnson","NYG","8","TE","235","2.9","0","0","0","18","198","2","0"
"Tutu Atwell","MIA","6","WR","236","2.9","4","22","0","16","250","1","0"
"Tommy Tremble","CAR","5","TE","237","2.9","0","0","0","20","195","2","0"
"Devontez Walker","BAL","13","WR","238","2.8","0","0","0","15","255","1","0"
"Kaleb Johnson","PIT","9","RB","239","2.8","62","268","2","6","36","0","1"
"Xavier Hutchinson","HOU","8","WR","240","2.7","2","10","0","18","210","1","0"
"Kaytron Allen","WAS","7","RB","241","2.7","44","163","4","3","20","0","0"
"Tez Johnson","TB","10","WR","242","2.6","7","25","0","16","173","1","0"
"Jaylin Lane","WAS","7","WR","243","2.4","4","30","0","15","180","1","0"
"Emari Demercado","KC","5","RB","244","2.4","25","110","1","14","110","1","1"
"Calvin Austin III","NYG","8","WR","245","2.3","8","50","0","14","154","1","0"
"Will Shipley","PHI","10","RB","246","2.3","34","145","1","12","76","0","0"
"Emanuel Wilson","SEA","11","RB","247","2.3","44","171","2","6","36","0","0"
"Noah Gray","KC","5","TE","248","2.3","0","0","0","22","135","1","0"
"Adam Randall","BAL","13","RB","249","2.2","44","202","1","5","32","0","0"
"Tahj Brooks","CIN","6","RB","250","2.2","50","195","1","7","45","0","0"
"Devin Neal","NO","8","RB","251","2.2","38","156","1","9","63","0","1"
"MarShawn Lloyd","GB","11","RB","252","2.1","38","150","1","9","60","0","0"
"Ollie Gordon II","MIA","6","RB","253","2.0","45","155","2","5","35","1","1"
"Malachi Fields","NYG","8","WR","254","1.9","2","10","0","12","152","1","0"
"Zavion Thomas","CHI","10","WR","255","1.7","4","28","0","10","125","1","0"
"Elijah Arroyo","SEA","11","TE","256","1.7","0","0","0","10","103","2","0"
"Marlin Klein","HOU","8","TE","257","1.7","0","0","0","13","130","1","0"
"Audric Estimé","NO","8","RB","258","1.7","32","136","1","4","24","0","0"
"Demond Claiborne","MIN","6","RB","259","1.7","32","147","1","6","43","0","1"
"Brenen Thompson","LAC","7","WR","260","1.3","0","0","0","9","100","1","0"
"Pat Bryant","DEN","10","WR","261","1.2","0","0","0","9","90","1","0"
"Kendrick Law","DET","6","WR","262","1.0","0","0","0","7","75","1","0"
"Bryce Lance","NO","8","WR","263","0.9","0","0","0","6","78","0","0"
"Oscar Delp","NO","8","TE","264","0.8","0","0","0","6","54","0","0"
"Nate Boerkircher","JAX","7","TE","265","0.4","0","0","0","2","25","0","0"
