"Name","Team","Bye Week","Pos","Rank","PPG","ATTS","YDS","TDS","REC","YDS","TDS","FUM"
"Jacory Croskey-Merritt","WAS","7","RB","107","8.7","185","808","6","20","145","0","2"
"RJ Harvey","DEN","10","RB","108","8.7","120","445","5","36","270","3","2"
"Brenton Strange","JAX","7","TE","109","8.6","2","10","0","55","637","5","1"
"Greg Dulcich","MIA","6","TE","110","8.6","2","6","0","54","699","4","0"
"Chig Okonkwo","WAS","7","TE","111","8.5","2","10","0","58","620","4","0"
"Hunter Henry","NE","11","TE","112","8.5","0","0","0","50","628","5","0"
"Rashid Shaheed","SEA","11","WR","113","8.3","8","55","0","55","650","3","1"
"Jauan Jennings","MIN","6","WR","114","8.2","3","18","0","48","560","6","1"
"Jalen Coker","CAR","5","WR","115","8.2","0","0","0","51","610","5","2"
"Malik Washington","MIA","6","WR","116","8.1","14","74","1","59","444","4","1"
"AJ Barner","SEA","11","TE","117","8.1","7","16","1","50","504","5","1"
"Jordan James","SF","8","RB","118","8.1","132","523","5","30","228","2","2"
"Jalen Nailor","LV","13","WR","119","8.0","8","47","0","48","642","4","1"
"Mark Andrews","BAL","13","TE","120","8.0","8","33","1","50","414","6","0"
"Dalton Kincaid","BUF","7","TE","121","7.9","0","0","0","41","615","5","0"
"Tre Tucker","LV","13","WR","122","7.8","6","42","0","49","597","4","1"
"Omar Cooper Jr.","NYJ","13","WR","123","7.8","8","46","0","46","591","4","1"
"Jayden Higgins","HOU","8","WR","124","7.8","3","19","0","46","619","4","1"
"Isaiah Likely","NYG","8","TE","125","7.7","2","10","0","54","599","3","0"
"MarShawn Lloyd","GB","11","RB","126","7.7","126","544","5","20","176","2","2"
"Oronde Gadsden","LAC","7","TE","127","7.7","2","9","0","49","623","4","1"
"Colby Parkinson","LAR","11","TE","128","7.7","0","0","0","48","470","6","0"
"Pat Freiermuth","PIT","9","TE","129","7.6","1","5","0","48","551","4","0"
"Troy Franklin","DEN","10","WR","130","7.6","3","14","0","47","638","3","1"
"Denzel Boston","CLE","11","WR","131","7.6","0","0","0","45","601","4","0"
"Tank Bigsby","PHI","10","RB","132","7.5","118","527","4","25","204","1","1"
"Jonathon Brooks","CAR","5","RB","133","7.5","123","526","4","24","196","1","1"
"Tre' Harris","LAC","7","WR","134","7.4","5","32","0","50","620","2","1"
"DeMario Douglas","NE","11","WR","135","7.3","9","31","0","45","610","3","1"
"Chimere Dike","TEN","9","WR","136","7.3","8","33","0","49","551","3","1"
"Darnell Mooney","NYG","8","WR","137","7.1","4","22","0","42","580","3","0"
"Woody Marks","HOU","8","RB","138","7.1","135","512","4","21","199","1","1"
"Cade Otton","TB","10","TE","139","7.0","1","3","0","52","496","3","1"
"Aaron Jones Sr.","MIN","6","RB","140","6.9","127","519","3","23","176","2","1"
"Gunnar Helm","TEN","9","TE","141","6.8","0","0","0","55","480","2","0"
"Elic Ayomanor","TEN","9","WR","142","6.7","4","19","0","43","516","3","1"
"Chris Bell","MIA","6","WR","143","6.6","6","40","0","41","494","3","1"
"Tory Horton","SEA","11","WR","144","6.6","4","31","0","40","452","4","0"
"T.J. Hockenson","MIN","6","TE","145","6.4","1","3","0","44","408","4","0"
"Jonah Coleman","DEN","10","RB","146","6.4","110","496","4","20","137","1","1"
"Isaac TeSlaa","DET","6","WR","147","6.3","3","15","0","32","435","5","0"
"Adonai Mitchell","NYJ","13","WR","148","6.3","4","15","0","39","532","3","1"
"Chris Rodriguez Jr.","JAX","7","RB","149","6.3","131","551","5","12","100","0","1"
"Tank Dell","HOU","8","WR","150","6.3","6","40","0","37","476","3","1"
"Pat Bryant","DEN","10","WR","151","6.3","0","0","0","39","494","3","0"
"Keaton Mitchell","LAC","7","RB","152","6.3","89","402","3","25","188","1","1"
"Calvin Ridley","TEN","9","WR","153","6.2","2","10","0","39","493","3","1"
"J.K. Dobbins","DEN","10","RB","154","6.2","147","588","5","13","71","0","1"
"Elijah Arroyo","SEA","11","TE","155","6.2","2","11","0","42","462","3","1"
"Samaje Perine","CIN","6","RB","156","6.1","84","396","3","25","135","2","2"
"Cooper Kupp","SEA","11","WR","157","6.1","2","7","0","42","485","2","0"
"Alvin Kamara","NO","8","RB","158","6.0","76","281","2","41","165","1","1"
"Kenyon Sadiq","NYJ","13","TE","159","6.0","5","26","0","40","418","3","0"
"Isiah Pacheco","DET","6","RB","160","6.0","95","390","4","21","145","1","1"
"Dylan Sampson","CLE","11","RB","161","5.9","88","239","1","35","285","2","1"
"Kayshon Boutte","NE","11","WR","162","5.9","2","15","0","36","499","2","1"
"Caleb Douglas","MIA","6","WR","163","5.9","3","18","0","32","452","4","1"
"Evan Engram","DEN","10","TE","164","5.9","2","7","0","43","408","3","0"
"Braelon Allen","NYJ","13","RB","165","5.9","137","596","3","14","139","0","2"
"Kimani Vidal","LAC","7","RB","166","5.8","90","501","2","18","151","1","1"
"Chris Brooks","GB","11","RB","167","5.8","95","398","3","27","200","0","2"
"Jerry Jeudy","CLE","11","WR","168","5.8","1","4","0","35","525","2","1"
"De'Zhaun Stribling","SF","8","WR","169","5.8","3","16","0","34","445","3","0"
"Keon Coleman","BUF","7","WR","170","5.7","0","0","0","37","393","4","1"
"Ryan Flournoy","DAL","14","WR","171","5.7","8","38","0","34","412","3","0"
"Zach Charbonnet","SEA","11","RB","172","5.7","100","411","6","12","76","0","1"
"Germie Bernard","PIT","9","WR","173","5.7","8","48","0","34","420","3","1"
"Antonio Williams","WAS","7","WR","174","5.7","8","48","0","34","418","3","1"
"Theo Johnson","NYG","8","TE","175","5.5","2","7","0","35","395","3","1"
"Devin Neal","NO","8","RB","176","5.5","72","298","2","32","218","0","1"
"Ted Hurst","TB","10","WR","177","5.5","5","36","0","31","403","3","0"
"Jalen McMillan","TB","10","WR","178","5.5","4","21","0","33","409","3","0"
"Mason Taylor","NYJ","13","TE","179","5.4","0","0","0","43","365","2","0"
"Darius Slayton","NYG","8","WR","180","5.4","1","5","0","32","442","3","0"
"Tez Johnson","TB","10","WR","181","5.4","8","52","0","32","371","3","0"
"David Njoku","LAC","7","TE","182","5.3","0","0","0","35","322","4","0"
"Mack Hollins","NE","11","WR","183","5.2","2","8","0","37","438","1","0"
"Kaytron Allen","WAS","7","RB","184","5.2","94","418","2","17","128","1","1"
"LeQuint Allen Jr.","JAX","7","RB","185","5.1","47","196","2","30","220","1","1"
"Sean Tucker","TB","10","RB","186","5.1","95","370","4","13","85","1","1"
"DJ Giddens","IND","13","RB","187","5.1","85","360","3","16","120","1","1"
"Tyquan Thornton","KC","5","WR","188","5.0","2","18","0","27","390","3","0"
"Justice Hill","BAL","13","RB","189","5.0","30","174","3","25","150","2","0"
"Xavier Legette","CAR","5","WR","190","5.0","1","0","0","32","319","4","0"
"Dontayvion Wicks","PHI","10","WR","191","5.0","5","24","0","31","372","2","0"
"Jack Bech","LV","13","WR","192","5.0","4","21","0","33","399","2","1"
"Olamide Zaccheaus","ATL","11","WR","193","5.0","5","30","0","36","299","3","0"
"Malachi Fields","NYG","8","WR","194","5.0","5","25","0","28","401","2","0"
"Cole Kmet","CHI","10","TE","195","4.9","0","0","0","34","319","3","0"
"Kendrick Bourne","ARI","14","WR","196","4.8","0","0","0","34","472","0","0"
"Treylon Burks","WAS","7","WR","197","4.8","5","26","0","29","348","2","0"
"Mike Washington Jr.","LV","13","RB","198","4.7","65","268","3","19","142","1","1"
"Tyler Allgeier","ARI","14","RB","199","4.6","104","357","4","13","73","0","0"
"Marvin Mims Jr.","DEN","10","WR","200","4.6","10","69","1","24","340","2","1"
"Brian Robinson Jr.","ATL","11","RB","201","4.6","110","425","3","12","57","0","0"
"Jalen Tolbert","MIA","6","WR","202","4.5","2","9","0","29","338","2","0"
"Michael Mayer","LV","13","TE","203","4.5","0","0","0","36","340","1","0"
"Eli Stowers","PHI","10","TE","204","4.4","4","20","0","26","292","3","0"
"Brenen Thompson","LAC","7","WR","205","4.4","8","52","0","28","380","1","1"
"Xavier Hutchinson","HOU","8","WR","206","4.4","3","17","0","27","326","2","0"
"Ty Johnson","BUF","7","RB","207","4.4","47","181","2","16","178","1","0"
"Dawson Knox","BUF","7","TE","208","4.4","0","0","0","26","299","3","0"
"Mike Gesicki","CIN","6","TE","209","4.3","0","0","0","30","318","2","0"
"James Conner","ARI","14","RB","210","4.3","75","268","2","16","75","2","0"
"Emanuel Wilson","SEA","11","RB","211","4.3","91","372","3","12","90","0","1"
"Jaylin Noel","HOU","8","WR","212","4.2","8","18","0","27","310","2","0"
"Jake Tonges","SF","8","TE","213","4.2","0","0","0","33","270","2","0"
"Rashod Bateman","BAL","13","WR","214","4.2","0","0","0","20","275","4","0"
"Jaylin Lane","WAS","7","WR","215","4.2","8","52","0","26","340","1","0"
"Will Shipley","PHI","10","RB","216","4.1","50","210","1","22","154","1","0"
"Isaiah Davis","NYJ","13","RB","217","4.1","50","219","1","21","175","1","1"
"Roman Wilson","PIT","9","WR","218","4.1","2","14","0","25","310","2","0"
"Devin Singletary","NYG","8","RB","219","4.1","81","314","3","8","94","1","1"
"Van Jefferson","WAS","7","WR","220","4.1","2","12","0","28","340","1","0"
"Emmett Johnson","KC","5","RB","221","4.0","59","258","2","15","125","1","1"
"Ja'Tavion Sanders","CAR","5","TE","222","4.0","0","0","0","32","268","1","0"
"Ricky Pearsall","SF","8","WR","223","3.9","4","6","0","25","305","2","0"
"Kalif Raymond","CHI","10","WR","224","3.9","1","16","0","26","306","1","0"
"Hollywood Brown","PHI","10","WR","225","3.9","1","7","0","24","286","2","0"
"Dont'e Thornton Jr.","LV","13","WR","226","3.9","3","15","0","23","333","1","0"
"Calvin Austin III","NYG","8","WR","227","3.9","3","24","0","24","289","2","0"
"Kyle Williams","NE","11","WR","228","3.8","4","18","0","26","316","1","0"
"Nicholas Singleton","TEN","9","RB","229","3.8","67","279","2","13","94","1","1"
"Christian Kirk","SF","8","WR","230","3.8","2","7","0","25","282","2","0"
"Emari Demercado","KC","5","RB","231","3.8","55","228","1","17","136","1","1"
"George Holani","SEA","11","RB","232","3.8","63","247","2","16","121","0","1"
"Jaylen Wright","MIA","6","RB","233","3.8","47","205","2","16","125","1","1"
"Devaughn Vele","NO","8","WR","234","3.7","2","9","0","26","315","1","0"
"Bryce Lance","NO","8","WR","235","3.7","8","44","0","23","294","1","1"
"Ben Sinnott","WAS","7","TE","236","3.6","2","10","0","26","280","1","0"
"Brashard Smith","KC","5","RB","237","3.5","41","165","1","20","146","1","1"
"Noah Gray","KC","5","TE","238","3.4","0","0","0","28","245","1","0"
"Noah Fant","NO","8","TE","239","3.4","0","0","0","27","248","1","0"
"Darnell Washington","PIT","9","TE","240","3.4","0","0","0","24","259","1","0"
"AJ Dillon","CAR","5","RB","241","3.3","65","242","3","13","62","0","3"
"Ja'Kobi Lane","BAL","13","WR","242","3.3","0","0","0","22","226","2","0"
"Andrei Iosivas","CIN","6","WR","243","3.3","1","9","0","19","282","1","0"
"Cedric Tillman","CLE","11","WR","244","3.3","0","0","0","19","264","2","0"
"Tommy Tremble","CAR","5","TE","245","3.2","0","0","0","22","227","2","0"
"Kaelon Black","SF","8","RB","246","3.1","47","194","2","13","100","0","1"
"Tutu Atwell","MIA","6","WR","247","3.0","4","21","0","19","243","1","0"
"Elijah Sarratt","BAL","13","WR","248","3.0","0","0","0","17","227","2","0"
"Jordan Whittington","LAR","11","WR","249","3.0","8","19","0","23","205","1","0"
"Zachariah Branch","ATL","11","WR","250","2.9","0","45","0","17","217","1","0"
