name,team,position,half_ppr_adp,full_ppr_adp,projected_fantasy_points,half_ppr_season,half_ppr_per_game,full_ppr_season,full_ppr_per_game,pass_attempts,pass_completions,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,targets,receptions,rec_yards,rec_tds,fumbles_lost
Malachi Fields,NYG,WR,169.9,169.9,34.1,27.4,1.6,34.0,2.0,0,0,0,0,0,0,0,0,20.3,13.2,157.5,0.9,0.1
Ollie Gordon II,MIA,RB,170.4,170.4,34.8,32.7,1.9,34.6,2.0,0,0,0,0,0,49.4,202.8,1.2,5.0,3.9,27.8,0.1,0.2
Emanuel Wilson,SEA,RB,170.2,170.2,9.9,9.2,0.5,9.9,0.6,0,0,0,0,0,11.4,48.0,0.4,1.8,1.4,10.3,0.1,0.0
Ty Johnson,BUF,RB,170.4,170.4,84.8,73.3,4.3,84.1,4.9,0,0,0,0,0,50.8,219.2,2.1,30.7,21.6,208.0,1.3,0.4
Jalen Tolbert,MIA,WR,170.4,170.4,89.6,71.7,4.2,89.4,5.3,0,0,0,0,0,0,0,0,60.4,35.4,441.6,1.8,0.3
Ted Hurst III,TB,WR,170.3,170.3,65.0,53.3,3.1,64.7,3.8,0,0,0,0,0,0,0,0,37.3,22.8,295.0,2.1,0.2
Michael Penix Jr.,ATL,QB,170.0,170.0,114.0,112.7,6.6,112.7,6.6,265.0,168.4,1886.3,9.5,5.1,19.3,76.9,0.9,0,0,0,0,1.9
Theo Johnson,NYG,TE,170.3,170.3,62.0,49.1,2.9,61.9,3.6,0,0,0,0,0,0,0,0,38.0,25.6,269.6,1.6,0.1
KaVontae Turpin,DAL,WR,169.9,169.9,66.8,54.5,3.2,63.6,3.7,0,0,0,0,0,17.7,102.5,0.4,28.3,18.2,229.9,1.7,0.4
Dawson Knox,BUF,TE,169.8,169.8,68.3,55.4,3.3,67.8,4.0,0,0,0,0,0,0,0,0,35.8,24.9,265.1,2.8,0.1
Cole Kmet,CHI,TE,169.7,169.7,53.6,42.6,2.5,53.4,3.1,0,0,0,0,0,0,0,0,30.8,21.7,219.3,1.7,0.1
Adam Randall,BAL,RB,170.3,170.3,25.1,23.2,1.4,25.0,1.5,0,0,0,0,0,29.3,121.2,0.9,4.7,3.6,28.8,0.2,0.1
Elijah Sarratt,BAL,WR,170.2,170.2,50.7,42.2,2.5,50.6,3.0,0,0,0,0,0,0,0,0,28.0,16.7,250.9,1.5,0.2
Michael Mayer,LV,TE,170.1,170.1,80.7,62.1,3.7,80.6,4.7,0,0,0,0,0,0,0,0,54.2,36.9,363.1,1.3,0.3
Marvin Mims Jr.,DEN,WR,170.0,170.0,69.8,54.6,3.2,66.7,3.9,0,0,0,0,0,8.2,45.1,0.3,33.9,24.2,272.4,1.6,0.3
Skyler Bell,BUF,WR,169.9,169.9,42.7,35.0,2.1,42.5,2.5,0,0,0,0,0,0,0,0,25.6,15.1,205.5,1.2,0.2
Hollywood Brown,PHI,WR,169.9,169.9,50.8,41.3,2.4,50.6,3.0,0,0,0,0,0,0,0,0,29.5,18.6,233.1,1.5,0.2
Sean Tucker,TB,RB,170.2,170.2,37.1,35.2,2.1,36.2,2.1,0,0,0,0,0,43.7,182.7,2.4,2.7,2.0,14.4,0.1,0.3
Andrei Iosivas,CIN,WR,170.4,170.4,77.2,63.3,3.7,76.9,4.5,0,0,0,0,0,2.0,11.2,0.1,45.8,27.3,317.5,2.8,0.2
Kaleb Johnson,PIT,RB,170.0,170.0,4.8,4.8,0.3,4.8,0.3,0,0,0,0,0,8.6,35.8,0.2,0,0,0,0,0.0
Justin Fields,KC,QB,169.9,169.9,10.6,10.5,0.6,10.5,0.6,20.6,12.8,140.2,0.9,0.4,2.8,15.3,0.2,0,0,0,0,0.2
LeQuint Allen Jr.,JAX,RB,170.3,170.3,46.4,35.0,2.1,45.8,2.7,0,0,0,0,0,8.0,33.9,0.2,28.4,21.7,148.0,0.8,0.1
Ty Simpson,LAR,QB,169.9,169.9,10.0,10.0,0.6,10.0,0.6,21.9,13.5,146.4,1.2,0.6,1.1,4.8,0.1,0,0,0,0,0.2
Emari Demercado,KC,RB,170.3,170.3,63.5,55.5,3.3,63.3,3.7,0,0,0,0,0,53.6,254.7,1.4,21.7,15.7,107.9,0.6,0.3
Tyquan Thornton,KC,WR,170.2,170.2,77.2,65.1,3.8,77.0,4.5,0,0,0,0,0,0,0,0,43.5,23.8,358.6,2.9,0.2
Trey Benson,ARI,RB,169.9,169.9,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trevor Etienne,CAR,RB,170.1,170.1,16.8,12.8,0.8,14.9,0.9,0,0,0,0,0,12.3,52.5,0.3,5.2,4.1,29.6,0.2,0.1
Chris Brooks,GB,RB,170.2,170.2,43.7,35.7,2.1,43.6,2.6,0,0,0,0,0,22.4,98.5,0.6,21.0,15.7,111.0,0.6,0.1
Malik Davis,DAL,RB,170.1,170.1,35.6,33.4,2.0,35.5,2.1,0,0,0,0,0,44.2,192.2,1.4,5.7,4.1,29.6,0.2,0.2
Savion Williams,GB,WR,170.1,170.1,69.8,57.0,3.4,69.0,4.1,0,0,0,0,0,9.0,47.0,0.3,36.7,23.9,271.5,2.0,0.3
Devin Singletary,NYG,RB,170.1,170.1,19.9,17.7,1.0,19.8,1.2,0,0,0,0,0,22.3,89.2,0.6,5.1,4.2,26.3,0.1,0.1
DJ Giddens,IND,RB,170.2,170.2,36.0,31.6,1.9,35.9,2.1,0,0,0,0,0,33.6,141.5,1.0,10.5,8.5,56.8,0.3,0.2
Kyle Juszczyk,SF,RB,170.0,170.0,45.0,34.6,2.0,44.8,2.6,0,0,0,0,0,4.4,18.6,0.2,26.3,20.4,162.4,0.9,0.1
Elijah Arroyo,SEA,TE,169.9,169.9,60.6,48.4,2.8,60.5,3.6,0,0,0,0,0,0,0,0,35.3,24.1,264.2,1.7,0.2
Ja'Tavion Sanders,CAR,TE,170.0,170.0,77.7,59.9,3.5,77.4,4.6,0,0,0,0,0,0,0,0,47.0,35.1,303.8,2.1,0.3
Chris Brazzell II,CAR,WR,170.0,170.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Taylor,NYJ,TE,169.9,169.9,57.5,43.4,2.6,57.2,3.4,0,0,0,0,0,0,0,0,37.2,27.6,231.6,1.1,0.2
Isaiah Davis,NYJ,RB,170.2,170.2,50.8,43.9,2.6,50.4,3.0,0,0,0,0,0,39.1,178.2,1.3,15.9,12.9,95.4,0.4,0.1
Jahan Dotson,ATL,WR,170.2,170.2,75.4,60.9,3.6,75.2,4.4,0,0,0,0,0,0,0,0,49.3,28.7,358.2,1.8,0.2
Will Shipley,PHI,RB,170.1,170.1,28.0,21.9,1.3,27.5,1.6,0,0,0,0,0,9.3,39.6,0.3,14.7,11.3,83.5,0.4,0.1
Tyler Higbee,LAR,TE,169.8,169.8,38.1,30.4,1.8,38.1,2.2,0,0,0,0,0,0,0,0,22.5,15.3,154.4,1.3,0.1
Seth McGowan,IND,RB,170.2,170.2,15.7,13.4,0.8,15.6,0.9,0,0,0,0,0,12.6,52.1,0.4,5.2,4.3,28.9,0.2,0.1
DeMario Douglas,NE,WR,169.9,169.9,61.5,50.0,2.9,61.3,3.6,0,0,0,0,0,4.1,21.4,0.2,31.1,22.7,271.1,1.5,0.3
Eli Raridon,NE,TE,169.9,169.9,37.0,29.2,1.7,36.9,2.2,0,0,0,0,0,0,0,0,20.8,15.6,150.6,1.1,0.1
Dyami Brown,WSH,WR,170.2,170.2,47.0,38.8,2.3,46.7,2.7,0,0,0,0,0,0,0,0,25.8,15.9,217.0,1.6,0.2
Kyle Williams,NE,WR,169.9,169.9,22.6,18.9,1.1,22.1,1.3,0,0,0,0,0,4.1,22.3,0.2,10.4,6.4,91.5,0.6,0.1
Zavion Thomas,CHI,WR,169.9,169.9,36.2,28.7,1.7,34.9,2.1,0,0,0,0,0,0,0,0,20.6,12.5,153.6,1.2,0.1
Brashard Smith,KC,RB,170.1,170.1,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mac Jones,SF,QB,169.9,169.9,8.6,8.5,0.5,8.5,0.5,22.4,14.7,145.7,0.9,0.6,0.9,2.2,0.0,0,0,0,0,0.1
Jameis Winston,NYG,QB,169.9,169.9,8.7,8.6,0.5,8.6,0.5,22.3,13.6,163.4,0.9,0.9,0.7,2.7,0.0,0,0,0,0,0.2
Joe Flacco,CIN,QB,169.9,169.9,10.5,10.4,0.6,10.4,0.6,24.6,15.2,164.5,1.3,0.7,0.4,1.2,0.0,0,0,0,0,0.2
Luke McCaffrey,WSH,WR,169.9,169.9,18.5,14.2,0.8,17.6,1.0,0,0,0,0,0,0,0,0,10.3,6.7,80.3,0.5,0.1
Elic Ayomanor,TEN,WR,170.0,170.0,15.8,12.9,0.8,15.8,0.9,0,0,0,0,0,0,0,0,11.0,5.9,75.9,0.4,0.1
Tahj Brooks,CIN,RB,170.1,170.1,18.5,18.4,1.1,18.4,1.1,0,0,0,0,0,30.5,129.4,0.9,0,0,0,0,0.1
Nick Westbrook-Ikhine,IND,WR,170.0,170.0,60.4,49.3,2.9,60.1,3.5,0,0,0,0,0,0,0,0,36.7,21.6,269.5,2.0,0.2
Noah Gray,KC,TE,169.9,169.9,60.6,47.5,2.8,60.5,3.6,0,0,0,0,0,0,0,0,38.0,26.1,261.7,1.4,0.1
Tez Johnson,TB,WR,170.0,170.0,21.6,18.1,1.1,21.5,1.3,0,0,0,0,0,4.4,23.3,0.2,10.7,6.7,77.6,0.6,0.1
Mack Hollins,NE,WR,169.9,169.9,28.1,22.6,1.3,28.0,1.6,0,0,0,0,0,0,0,0,15.6,10.8,126.7,0.8,0.1
Max Klare,LAR,TE,170.0,170.0,10.0,7.9,0.5,9.9,0.6,0,0,0,0,0,0,0,0,5.6,4.0,38.2,0.4,0.0
Tutu Atwell,MIA,WR,170.0,170.0,53.4,43.2,2.5,53.3,3.1,0,0,0,0,0,2.1,11.3,0.1,35.2,20.4,291.7,0.4,0.2
Brenen Thompson,LAC,WR,169.9,169.9,27.4,22.6,1.3,27.4,1.6,0,0,0,0,0,2.1,11.3,0.1,15.9,9.5,121.0,0.7,0.1
Isaiah Bond,CLE,WR,170.0,170.0,30.5,25.4,1.5,30.3,1.8,0,0,0,0,0,4.3,23.5,0.1,18.1,9.9,130.0,0.8,0.1
Oscar Delp,NO,TE,170.0,170.0,9.0,7.0,0.4,8.9,0.5,0,0,0,0,0,0,0,0,5.5,3.9,36.5,0.2,0.0
