name,team,position,half_ppr_adp,full_ppr_adp,projected_fantasy_points,half_ppr_season,half_ppr_per_game,full_ppr_season,full_ppr_per_game,pass_attempts,pass_completions,pass_yards,pass_tds,interceptions,rush_attempts,rush_yards,rush_tds,receptions,rec_yards,rec_tds,fumbles_lost
Mike Evans,SF,WR,57.0,57.8,206.0,171.0,10.1,204.0,12.0,0,0,0,0,0,0,0,0,66.0,900.0,8.0,0
Joe Burrow,CIN,QB,58.2,57.1,306.1,292.1,17.2,292.1,17.2,549.0,377.0,4008.0,33.0,10.0,46.0,138.0,2.0,0,0,0,3.0
D'Andre Swift,CHI,RB,58.6,65.1,200.0,182.0,10.7,200.0,11.8,0,0,0,0,0,201.0,904.0,7.0,36.0,276.0,1.0,1.0
Terry McLaurin,WAS,WR,58.8,56.6,216.2,178.7,10.5,216.2,12.7,0,0,0,0,0,1.0,7.0,0,75.0,1045.0,6.0,0
DJ Moore,BUF,WR,61.2,59.3,179.0,147.5,8.7,179.0,10.5,0,0,0,0,0,5.0,29.0,0,63.0,851.0,5.0,1.0
Carnell Tate,TEN,WR,62.5,62.9,190.3,154.8,9.1,190.3,11.2,0,0,0,0,0,2.0,11.0,0,71.0,882.0,5.0,0
Rome Odunze,CHI,WR,62.6,64.2,187.7,156.7,9.2,187.7,11.0,0,0,0,0,0,1.0,6.0,0,62.0,891.0,6.0,0
Jadarian Price,SEA,RB,63.0,80.3,170.0,160.5,9.4,170.0,10.0,0,0,0,0,0,212.0,912.0,7.0,19.0,138.0,1.0,1.0
Christian Watson,GB,WR,63.3,68.4,188.4,159.9,9.4,188.4,11.1,0,0,0,0,0,2.0,13.0,0,57.0,941.0,6.0,0
Jayden Daniels,WAS,QB,64.1,62.1,313.7,302.7,17.8,302.7,17.8,479.0,316.0,3353.0,22.0,9.0,126.0,686.0,6.0,0,0,0,3.0
Brian Thomas,JAX,WR,65.6,69.6,195.4,164.4,9.7,195.4,11.5,0,0,0,0,0,3.0,17.0,0,62.0,897.0,7.0,0
Jaylen Warren,PIT,RB,66.6,74.8,170.6,152.6,9.0,170.6,10.0,0,0,0,0,0,172.0,759.0,5.0,36.0,267.0,1.0,2.0
Harold Fannin,CLE,TE,66.7,62.6,180.4,143.4,8.4,180.4,10.6,0,0,0,0,0,6.0,25.0,0,74.0,739.0,5.0,0
Tucker Kraft,GB,TE,68.0,67.3,173.1,139.6,8.2,173.1,10.2,0,0,0,0,0,0,0,0,67.0,761.0,5.0,0
Jalen Hurts,PHI,QB,68.4,67.2,310.5,300.5,17.7,300.5,17.7,462.0,300.0,3326.0,21.0,8.0,120.0,515.0,9.0,0,0,0,3.0
RJ Harvey,DEN,RB,69.3,68.4,144.1,125.6,7.4,144.1,8.5,0,0,0,0,0,124.0,515.0,3.0,37.0,276.0,2.0,1.0
Jordyn Tyson,NO,WR,71.6,69.0,178.6,145.6,8.6,178.6,10.5,0,0,0,0,0,2.0,10.0,0,66.0,816.0,5.0,0
Chuba Hubbard,CAR,RB,73.0,74.9,168.1,153.1,9.0,168.1,9.9,0,0,0,0,0,198.0,840.0,5.0,30.0,201.0,1.0,1.0
Rhamondre Stevenson,NE,RB,73.7,82.7,166.3,151.8,8.9,166.3,9.8,0,0,0,0,0,177.0,759.0,6.0,29.0,214.0,1.0,1.0
Kyle Pitts,ATL,TE,76.2,71.3,171.6,138.6,8.2,171.6,10.1,0,0,0,0,0,0,0,0,66.0,756.0,5.0,0
Marvin Harrison,ARI,WR,76.9,75.8,175.7,145.7,8.6,175.7,10.3,0,0,0,0,0,0,0,0,60.0,857.0,5.0,0
Makai Lemon,PHI,WR,77.9,76.6,168.5,138.5,8.1,168.5,9.9,0,0,0,0,0,2.0,10.0,0,60.0,775.0,5.0,0
DK Metcalf,PIT,WR,78.1,74.4,183.3,152.3,9.0,183.3,10.8,0,0,0,0,0,2.0,10.0,0,62.0,843.0,6.0,0
Sam LaPorta,DET,TE,78.4,76.4,192.0,155.0,9.1,192.0,11.3,0,0,0,0,0,1.0,3.0,0,74.0,817.0,6.0,0
Kyle Monangai,CHI,RB,78.8,89.5,154.6,143.1,8.4,154.6,9.1,0,0,0,0,0,166.0,751.0,6.0,23.0,165.0,1.0,1.0
Alec Pierce,IND,WR,81.8,83.6,185.5,157.0,9.2,185.5,10.9,0,0,0,0,0,1.0,7.0,0,57.0,918.0,6.0,0
Tony Pollard,TEN,RB,82.1,85.6,160.1,146.1,8.6,160.1,9.4,0,0,0,0,0,189.0,794.0,5.0,28.0,187.0,1.0,1.0
Michael Wilson,ARI,WR,82.6,80.2,166.0,136.5,8.0,166.0,9.8,0,0,0,0,0,1.0,6.0,0,59.0,764.0,5.0,0
Courtland Sutton,DEN,WR,83.1,77.9,167.5,139.5,8.2,167.5,9.9,0,0,0,0,0,0,0,0,56.0,755.0,6.0,0
Rico Dowdle,PIT,RB,83.2,88.1,154.6,136.6,8.0,154.6,9.1,0,0,0,0,0,151.0,646.0,4.0,36.0,260.0,1.0,1.0
Justin Herbert,LAC,QB,85.7,83.7,303.3,291.3,17.1,291.3,17.1,544.0,362.0,3920.0,27.0,10.0,71.0,345.0,3.0,0,0,0,3.0
Caleb Williams,CHI,QB,86.5,82.9,299.3,287.3,16.9,287.3,16.9,514.0,316.0,3651.0,28.0,10.0,75.0,373.0,3.0,0,0,0,3.0
Parker Washington,JAX,WR,87.4,89.1,190.7,156.2,9.2,188.7,11.1,0,0,0,0,0,9.0,53.0,0,65.0,824.0,6.0,0
Jaxson Dart,NYG,QB,88.8,80.6,300.5,286.5,16.9,286.5,16.9,495.0,322.0,3366.0,23.0,12.0,106.0,539.0,6.0,0,0,0,3.0
J.K. Dobbins,DEN,RB,90.6,92.5,160.2,147.2,8.7,160.2,9.4,0,0,0,0,0,171.0,732.0,6.0,26.0,190.0,1.0,0
Blake Corum,LAR,RB,90.8,98.3,135.3,127.8,7.5,135.3,8.0,0,0,0,0,0,172.0,757.0,6.0,15.0,106.0,0,1.0
Ricky Pearsall,SF,WR,92.6,99.8,168.2,139.7,8.2,168.2,9.9,0,0,0,0,0,3.0,18.0,0,57.0,794.0,5.0,0
Chris Godwin,TB,WR,93.0,92.6,173.6,139.6,8.2,173.6,10.2,0,0,0,0,0,1.0,6.0,0,68.0,750.0,5.0,0
Trevor Lawrence,JAX,QB,93.8,92.3,303.4,289.4,17.0,289.4,17.0,522.0,329.0,3788.0,26.0,12.0,79.0,339.0,5.0,0,0,0,3.0
Jakobi Meyers,JAX,WR,95.9,87.6,169.3,137.3,8.1,169.3,10.0,0,0,0,0,0,4.0,21.0,0,64.0,732.0,5.0,0
Dalton Kincaid,BUF,TE,97.5,97.1,157.1,125.6,7.4,157.1,9.2,0,0,0,0,0,0,0,0,63.0,701.0,4.0,0
Dak Prescott,DAL,QB,97.8,90.3,303.9,286.9,16.9,286.9,16.9,580.0,389.0,4292.0,31.0,13.0,44.0,152.0,1.0,0,0,0,2.0
Michael Pittman,PIT,WR,98.0,102.9,167.5,133.5,7.9,167.5,9.9,0,0,0,0,0,1.0,7.0,0,68.0,748.0,4.0,0
Jordan Addison,MIN,WR,98.4,100.7,168.4,139.4,8.2,168.4,9.9,0,0,0,0,0,4.0,22.0,0,58.0,782.0,5.0,0
George Kittle,SF,TE,99.2,97.4,156.5,127.0,7.5,156.5,9.2,0,0,0,0,0,0,0,0,59.0,675.0,5.0,0
Patrick Mahomes,KC,QB,101.0,100.1,278.6,265.6,15.6,265.6,15.6,529.0,352.0,3773.0,28.0,11.0,49.0,227.0,1.0,0,0,0,2.0
Wan'Dale Robinson,TEN,WR,102.0,103.0,160.0,127.0,7.5,160.0,9.4,0,0,0,0,0,3.0,15.0,0,66.0,685.0,4.0,0
Oronde Gadsden,LAC,TE,102.2,94.7,150.6,122.1,7.2,150.6,8.9,0,0,0,0,0,0,0,0,57.0,636.0,5.0,0
Quentin Johnston,LAC,WR,102.5,102.6,163.9,134.9,7.9,163.9,9.6,0,0,0,0,0,2.0,11.0,0,58.0,748.0,5.0,0
Jake Ferguson,DAL,TE,105.3,104.0,159.8,124.8,7.3,159.8,9.4,0,0,0,0,0,0,0,0,70.0,618.0,5.0,1.0
Brock Purdy,SF,QB,105.8,103.5,295.7,278.7,16.4,278.7,16.4,484.0,326.0,3824.0,29.0,13.0,63.0,237.0,3.0,0,0,0,3.0
Aaron Jones,MIN,RB,107.4,108.8,150.1,131.1,7.7,150.1,8.8,0,0,0,0,0,146.0,625.0,3.0,38.0,276.0,1.0,1.0
Jacory Croskey-Merritt,WAS,RB,108.0,114.9,127.9,118.4,7.0,127.9,7.5,0,0,0,0,0,141.0,614.0,5.0,19.0,135.0,1.0,1.0
Kenny Gainwell,TB,RB,109.8,106.9,152.3,128.8,7.6,152.3,9.0,0,0,0,0,0,99.0,418.0,3.0,47.0,355.0,2.0,1.0
Jayden Reed,GB,WR,110.5,116.0,165.8,136.8,8.0,165.8,9.8,0,0,0,0,0,12.0,68.0,0,58.0,730.0,5.0,1.0
Jonathon Brooks,CAR,RB,112.0,138.0,26.3,24.3,1.4,26.3,1.5,0,0,0,0,0,32.0,131.0,1.0,4.0,32.0,0,0
